Date,Client,Group,Publication / Account,Tier,Reach / Circulation,Topic / Coverage Focus,Link,Placement Type,MAV (Rs.),Notes,Date Note,Logged On,MAV Method
2026-07-02,Sheraton Grand Chennai Resort & Spa,Hotels,HotelierBuzz,Tier 3,"Trade press, digital — exact figure not published",Appointment of Pallavi Mishra as Director of Food & Beverage,https://hotelierbuzz.com/sheraton-grand-chennai-resort-spa-appoints-pallavi-mishra-as-director-of-food-beverage/,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),"Confirmed dateline on article (July 2, 2026). No circulation, traffic, or rate card locatable for HotelierBuzz.",,,
2026-07-02,Sheraton Grand Chennai Resort & Spa,Hotels,BW Hotelier,Tier 3,No public reach/rate data found,Appointment of Pallavi Mishra as Director of Food & Beverage (separate pickup from the HotelierBuzz version already logged),https://www.bwhotelier.com/article/sheraton-grand-chennai-appoints-pallavi-mishra-as-f-b-director-612730,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),"Date approximate (""1 month ago"") - close to but possibly just before the strict July window; flagging for your own check.","approx, verify",,
2026-07-02,Sheraton Grand Chennai Resort & Spa,Hotels,Hospitality Lexis,Tier 3,No public reach/rate data found,Appointment of Pallavi Mishra as Director of Food & Beverage (another separate pickup),https://hospitalitylexis.com/sheraton-grand-chennai-resort-spa-appoints-pallavi-mishra-as-its-new-director-of-food-beverage/,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),Date not independently confirmed - likely same wire batch as the other Pallavi Mishra pickups (~early July). Please verify exact date if needed for reporting.,"approx, verify",,
2026-07-06,Sheraton Grand Chennai Resort & Spa,Hotels,Hospibuz,Tier 3,No public reach/rate data found,"""The Reef presents The Karnataka Table"" - week-long Karnataka regional food festival, July 12-19",https://hospibuz.com/hotel/Hotel-listicles/the-reef-presents-the-karnataka-table-a-week-long-journey-through-karnatakas-kitchens-12141238,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),"Date approximate (""3 weeks ago"" relative to check date).",approx,,
2026-07-06,Sheraton Grand Chennai Resort & Spa,Hotels,Hospibuz,Tier 3,No public reach/rate data found,"""Karnataka Table at The Reef"" - second, separate Hospibuz article with pricing details",https://hospibuz.com/hotel/Hotel-listicles/karnataka-table-at-the-reef-sheraton-chennai-resort-spa-12148926,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),"Date approximate (""3 weeks ago""). Distinct article/URL from the one above, same outlet.",approx,,
2026-07-16,Sheraton Grand Chennai Resort & Spa,Hotels,Indulge (New Indian Express supplement),Tier 3,No public reach/rate data found,"""Southern Trail"" event listing for The Karnataka Table at The Reef, July 17 onwards",https://www.indulgexpress.com/amp/story/events/chennai/2026/Jul/16/whats-up-chennai-events-between-july-17-and-july-23,Mention,N/A - no public reach/rate data found (see Publication Reach Data tab),Confirmed via URL date stamp (2026/Jul/16) and your forwarded screenshot.,,,
2026-07-20,Sheraton Grand Chennai Resort & Spa,Hotels,BW Hotelier,Tier 3,No public reach/rate data found,Sheraton Grand Chennai Resort & Spa to host Karnataka Table at The Reef,https://www.bwhotelier.com/article/sheraton-grand-chennai-resort-spa-to-host-karnataka-table-at-the-reef-615008,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),"Date approximate (""1 week ago"" relative to check date).",approx,,
2026-07-23,Sheraton Grand Chennai Resort & Spa,Hotels,HotelierBuzz,Tier 3,"Trade press, digital — exact figure not published",Appointment of Abbas Painattu as Spa & Recreation Manager,https://hotelierbuzz.com/sheraton-grand-chennai-resort-spa-appoints-abbas-painattu-as-spa-recreation-manager/,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),"Confirmed dateline on article (July 23, 2026). No circulation, traffic, or rate card locatable for HotelierBuzz.",,,
2026-02-07,Sofitel Mumbai BKC,Hotels,Travel And Tour World,Tier 2,"Digital — trade/travel news reach, exact circulation not published",Third consecutive Green Key Certification — first Green Key-certified hotel in India,https://www.travelandtourworld.com/news/article/sofitel-mumbai-bkc-leads-the-charge-in-sustainable-luxury-hospitality-reinforces-indias-green-future/,Feature,"Rs. 5,500","Reach is estimated — publication doesn't disclose circulation; verify if used in client reporting. MAV = (20K IG followers, used as reach floor)/1000 x Rs.110 CPM benchmark x 2.5 editorial multiplier = Rs.5,500. Benchmarked, not a verified rate.",,,CPM estimate
2026-04-22,Sofitel Mumbai BKC,Hotels,Indian Startup Times,Tier 3,"Digital — niche business/lifestyle readership, exact figures not published","""From the Mountains to Mumbai"" Himalayan food festival at Pondichery Cafe, curated by Chef Michael Swamy",https://www.indianstartuptimes.com/policy-press-release/sofitel-mumbai-bkc-brings-himalayan-flavours-to-the-city-with-limited-time-culinary-showcase/,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),"Reads as a released press release picked up verbatim — good for reach, log but note as PR-note pickup. No circulation, traffic, or rate card locatable anywhere for this outlet.",,,
2026-07-17,Sofitel Mumbai BKC,Hotels,Hospibuz,Tier 3,"Digital trade press, no public traffic/circulation found",GM Neha Chhabra honoured with Outstanding Contribution to Hospitality award (IHC London/IIHM) and IIHM Fellowship,https://hospibuz.com/hotel/Hotel-listicles/sofitel-mumbai-bkc-gm-neha-chhabra-earns-two-global-hospitality-honours-12172905,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),Confirmed dateline (17 Jul 2026). No public circulation/traffic data locatable for Hospibuz.,,,
2026-07-23,Sofitel Mumbai BKC,Hotels,Hotelier India,Tier 2,"Established hospitality trade title, no public circulation found",Same story independently run: GM Neha Chhabra's two global hospitality honours,https://www.hotelierindia.com/operations/sofitel-mumbai-bkcs-neha-chhabra-receives-two-global-hospitality-honours,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),"Date approximate (search showed '4 days ago' relative to check date of 27 Jul 2026, so ~23 Jul). Site blocked direct fetch for exact date confirmation.",,,
2026-08-04,Sofitel Mumbai BKC,Hotels,Hospibuz,Tier 3,"Digital trade press, no public traffic/circulation found","""Taste of Malvan"" ten-day festival at Pondichery Cafe, led by Executive Chef Vividh Patil (from Malvan)",https://hospibuz.com/hotel/Hotel-listicles/taste-of-malvan-at-pondichery-cafe-sofitel-mumbai-bkc-12228554,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),"Confirmed dateline (04 Aug 2026). Ten-day festival, 31 Jul-9 Aug 2026. New find, not previously logged.",,,
2026-07-01,Sorena,Independent,Foodies of India,Tier 3,"Digital blog, niche Mumbai food-scene readership, exact figure not published",Sorena named in monthly new-restaurant-openings roundup for Mumbai,https://foodiesofindia.wordpress.com/2026/07/01/new-restaurants-in-mumbai-july-2026-roundup/,Mention,N/A - no public reach/rate data found (see Publication Reach Data tab),"Confirmed dateline (posted July 1, 2026) on the article itself. Personal WordPress blog with no locatable reach data.",,,
2026-07-06,Sorena,Independent,Esquire India,Tier 1,"Digital — national lifestyle title, exact figure not published","Sorena featured in Esquire India's July 2026 Hotlist, with detail on Head Chef Sachin Kadam's menu and the Atlas bar programme",https://www.esquireindia.co.in/food-and-drinks/what-to-eat/esquire-india-july-2026-hotlist-new-restaurantsandbars-across-india,Feature,"Rs. 31,350","MAV = (114K IG followers, reach floor)/1000 x Rs.110 CPM x 2.5 multiplier = Rs.31,350. Benchmarked, not verified.",,,CPM estimate
2026-07-06,Sorena,Independent,LocalSamosa,Tier 2,"Digital lifestyle/food platform, exact figure not published","Dedicated review: ""Sorena Delivers Beautiful Ambience and Plenty of Flavour""",https://www.localsamosa.com/food-and-drinks/sorena-food-review-12139375,Feature,"Rs. 32,725","MAV = (119K IG followers, reach floor)/1000 x Rs.110 CPM x 2.5 multiplier = Rs.32,725. Benchmarked, not verified.",,,CPM estimate
2026-07-24,Sorena,Independent,Free Press Journal,Tier 3,"Print + digital, Mumbai edition — exact digital reach not published","Sorena named in ""10 New Restaurants In Mumbai Every Food Lover Should Check Out This Month""",https://www.freepressjournal.in/lifestyle/10-new-restaurants-in-mumbai-every-food-lover-should-check-out-this-month,Mention,"Rs. 79,500","MAV = 40 sq cm assumed ad-space equivalent for a Mention x Rs.795/sq cm VERIFIED Free Press Journal base rate x 2.5 editorial multiplier = Rs.79,500. This is the only fully rate-card-verified figure in the tracker.",,,CPM estimate
2026-06-29,The St. Regis Goa Resort,Hotels,Hospibuz,Tier 3,No public reach/rate data found,Same Parsi Heritage buffet announcement at Miri,https://hospibuz.com/hotel/Hotel-listicles/parsi-heritage-by-chef-firozi-karanjia-at-miri-the-st-regis-goa-resort-12126621,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),"Date is approximate only (""4 weeks ago"" relative to check date) - this may fall in late June rather than July; flagging for your own verification given the strict July rule.","approx, verify",,
2026-07-03,The St. Regis Goa Resort,Hotels,Travel Turtle,Tier 3,No public reach/rate data found,Presidential Villa renovation unveiled - 670 sqm three-bedroom sanctuary,https://www.travelturtle.world/news/the-st-regis-goa-resort-unveils-the-new-presidential-villa/,Feature,"₹ 1,80,000","Confirmed dateline (July 3, 2026) on article itself. |MERGED DUPLICATE: 2 rows for the same piece.",,,Rate card (as entered)
2026-07-03,The St. Regis Goa Resort,Hotels,LinkedIn (Travel Turtle repost),Tier 3,"Social platform, not a standalone publication",Same Presidential Villa story reposted on LinkedIn by Travel Turtle,https://www.linkedin.com/posts/travel-turtle_the-st-regis-goa-resort-unveils-the-new-activity-7478758348037758976-3oRB,Feature,N/A - no public reach/rate data found (see Publication Reach Data tab),"Same story as Travel Turtle's site piece, shared same day. Counted separately as it reaches a distinct LinkedIn audience.",,,
2026-07-06,The St. Regis Goa Resort,Hotels,LocalSamosa,Tier 2,119K Instagram followers (verified) - see Publication Reach Data tab,"""Local Eats Edit"" - Miri restaurant's ""A Culinary Journey Through Parsi Heritage"" 3-day buffet, curated by Chef Firozi Karanjia",https://www.localsamosa.com/news/local-eats-edit-july-second-week-2026-12144111,Mention,"₹ 1,02,500","Date approximate (""3 weeks ago"" relative to check date). MAV = (119K IG followers, reach floor)/1000 x Rs.110 CPM x 2.5 multiplier = Rs.32,725. Benchmarked, not verified. |MERGED DUPLICATE: two MAV figures existed — rate card ₹ 1,02,500 and CPM estimate Rs. 32,725. Rate card retained; confirm which method is canonical.",,,Rate card (as entered)
2026-07-06,The St. Regis Goa Resort,Hotels,Hospibuz,Tier 3,No public reach/rate data found,Presidential Villa renovation unveiled (same wire story),https://hospibuz.com/hotel/Hotel-listicles/the-st-regis-goa-resort-unveils-the-newly-renovated-presidential-villa-12130573,Feature,"₹ 85,000",Date approximate (site showed '3 weeks ago' relative to check date). Wire pickup of the same press release as Travel Turtle/Travel And Tour World. |MERGED DUPLICATE: 2 rows for the same piece.,,,Rate card (as entered)
2026-07-06,The St. Regis Goa Resort,Hotels,BW Hotelier,Tier 3,No public reach/rate data found,Presidential Villa renovation unveiled (same wire story),https://www.bwhotelier.com/article/st-regis-goa-completes-renovation-of-flagship-presidential-villa-613214,Feature,"₹ 95,000",Date approximate - part of same wire-syndicated press release batch as the other Presidential Villa pickups. |MERGED DUPLICATE: 2 rows for the same piece.,,,Rate card (as entered)
2026-07-06,The St. Regis Goa Resort,Hotels,ET Hospitality (Economic Times),Tier 1,No public reach/rate data found (ET Hospitality is an Economic Times vertical - high-authority masthead),Presidential Villa renovation unveiled (same wire story),https://hospitality.economictimes.indiatimes.com/news/hotels/the-st-regis-goa-resort-unveils-newly-renovated-presidential-villa/132176916,Feature,"₹ 2,80,000","Site blocked direct verification (bot detection) - logged from your link. Date approximate, same wire batch. Worth a real MAV given Economic Times' masthead authority once a rate is available. |MERGED DUPLICATE: 2 rows for the same piece.",,,Rate card (as entered)
2026-07-06,The St. Regis Goa Resort,Hotels,Travel Heights,Tier 3,No public reach/rate data found,Presidential Villa renovation unveiled (same wire story),https://travelheights.org/st-regis-goa-completes-luxury-makeover-of-flagship-presidential-villa/,Feature,"₹ 1,50,000","Date approximate, same wire batch as other Presidential Villa pickups. |MERGED DUPLICATE: 2 rows for the same piece.",,,Rate card (as entered)
2026-07-06,The St. Regis Goa Resort,Hotels,"Wedding Affair -  Volumn 26 Issue 5""",Tier 3,,,Print,,"₹ 3,50,000",,,,Rate card (as entered)
2026-07-09,The St. Regis Goa Resort,Hotels,Travel And Tour World,Tier 2,20K Instagram followers (verified) - see Publication Reach Data tab,"Presidential Villa renovation feature - ""Redefines Coastal Luxury with Renovated Presidential Villa Overlooking the Arabian Sea""",https://www.travelandtourworld.com/news/article/1lelfvgb31ih/,Feature,"Rs. 5,500","Confirmed dateline (9 Jul 2026, per site's own date stamps). MAV = (20K IG followers, reach floor)/1000 x Rs.110 CPM x 2.5 multiplier = Rs.5,500. Benchmarked, not verified.",,,CPM estimate
2026-07-10,The St. Regis Goa Resort,Hotels,Peaklife,Tier 2,No public reach/rate data found,Presidential Villa renovation - item 6 of 19 in weekly luxury launches roundup,https://peaklife.in/whats-new-19-exciting-new-launches-in-luxury-gastronomy-horology-and-more/,Mention,"₹ 3,50,000","Confirmed dateline (10-Jul-2026, byline Neha Mehrotra) on article itself. |MERGED DUPLICATE: 2 rows for the same piece.",,,Rate card (as entered)
2026-07-13,The St. Regis Goa Resort,Hotels,LocalSamosa (Instagram),Tier 2,119K Instagram followers (verified) - see Publication Reach Data tab,"Parsi Heritage Buffet at Miri, St. Regis Goa (Instagram carousel companion to the LocalSamosa article already logged)",https://www.instagram.com/p/DapBAWajJv9/,Feature,"Rs. 32,725","Instagram companion post to the LocalSamosa article. MAV = (119K IG followers)/1000 x Rs.110 CPM x 2.5 multiplier = Rs.32,725. Benchmarked.",,,CPM estimate
2026-07-14,The St. Regis Goa Resort,Hotels,LocalSamosa (Instagram),Tier 2,119K Instagram followers (verified) - see Publication Reach Data tab,Additional St. Regis Goa Resort coverage (per your flagged link),https://www.instagram.com/p/DasWA77CG1A/,Mention,"₹ 1,50,000","Second LocalSamosa Instagram post. MAV = (119K IG followers)/1000 x Rs.110 CPM x 2.5 multiplier = Rs.32,725. Benchmarked. |MERGED DUPLICATE: two MAV figures existed — rate card ₹ 1,50,000 and CPM estimate Rs. 32,725. Rate card retained; confirm which method is canonical.",,,Rate card (as entered)
2026-07-14,The St. Regis Goa Resort,Hotels,BW Hotelier,Tier 3,No public reach/rate data found,"Miri to host ""A Culinary Journey Through Parsi Heritage"" buffet, July 24-26, Chef Firozi Karanjia",https://www.bwhotelier.com/article/miri-at-the-st-regis-goa-resort-to-host-parsi-heritage-food-showcase-614595,Feature,"₹ 95,000","Confirmed dateline (Jul 14, 2026) via cross-reference on BW Hotelier's own site. |MERGED DUPLICATE: 2 rows for the same piece.",,,Rate card (as entered)
2026-07-15,The St. Regis Goa Resort,Hotels,Grazia India (Instagram),Tier 1,Established national fashion/lifestyle title - see Publication Reach Data tab if IG follower count is added,"Promo for Parsi Heritage Buffet by Chef Firozi Karanjia at Miri, July 24-26",https://www.instagram.com/p/Da0SOxaCFM1/,Feature,"₹ 3,50,000","Date approximate (forwarded via WhatsApp July 16, so posted ~July 15). Instagram carousel post, slide 13/20. Grazia India is a major national title - recommend pulling their real IG reach for a proper MAV. |MERGED DUPLICATE: 2 rows for the same piece.",,,Rate card (as entered)
2026-07-16,The St. Regis Goa Resort,Hotels,Soul of Hospitality (Instagram),Tier 3,Trade Instagram account,Coverage related to St. Regis Goa Resort (per your flagged link),https://www.instagram.com/p/DbH_k_lFyxU/,Mention,"₹ 1,80,000",Logged per your link - please confirm exact topic/content if this needs more detail for reporting. |MERGED DUPLICATE: 2 rows for the same piece.,,,Rate card (as entered)
2026-07-18,The St. Regis Goa Resort,Hotels,Business Travel India,Tier 2,,,https://thebusinesstravelindia.com/news/the-st-regis-goa-resort-unveils-renovated-presidential-villa -3780.html?utm_source=ig&utm_medium=social&utm_content=,,"₹ 2,05,000",,,,Rate card (as entered)
